# # Data threated with pyDSC, version xxxx, 
# #More information here? 
# #Temp/ [degC] 	 CP-baseline / [J/K/g] 	 CP [J/K/g] 	 baseline [J/K/g] 	 H [J/g]
7.187271200000000704e+01	-9.471417296381883233e-01	-8.910794439605385975e+00	-7.963652709967197652e+00	-2.102059400838343084e+00
7.212271200000000704e+01	-9.788663414434042309e-01	-8.958921934671240095e+00	-7.980055593227835864e+00	-2.342810409723542264e+00
7.237271200000000704e+01	-1.201872740629291059e+00	-9.199532782119275609e+00	-7.997660041489984550e+00	-2.615402794982629064e+00
7.262271200000000704e+01	-1.326373021197266411e+00	-9.343340322597322611e+00	-8.016967301400056201e+00	-2.931433515210948748e+00
7.287271200000000704e+01	-1.387095951531664539e+00	-9.423938192416642323e+00	-8.036842240884977784e+00	-3.270617136802065339e+00
7.312271200000000704e+01	-1.499990267761885931e+00	-9.557139233862061545e+00	-8.057148966100175613e+00	-3.631502914213759148e+00
7.337271200000000704e+01	-1.731287262717616571e+00	-9.810139716248038155e+00	-8.078852453530421585e+00	-4.035412605523696961e+00
7.362271200000000704e+01	-1.702621160424168778e+00	-9.803618818930930345e+00	-8.100997658506761567e+00	-4.464651158416420351e+00
7.387271200000000704e+01	-1.937810593426691597e+00	-1.006134683308341060e+01	-8.123536239656719005e+00	-4.919705127647778120e+00
7.412271200000000704e+01	-2.069946435307784327e+00	-1.021725312814315245e+01	-8.147306692835368125e+00	-5.420674756239587389e+00
7.437271200000000704e+01	-2.193741673515528845e+00	-1.036530437873005006e+01	-8.171562705214521216e+00	-5.953635769842501091e+00
7.462271200000000704e+01	-2.347145988067492084e+00	-1.054347628778437596e+01	-8.196330299716883871e+00	-6.521246727540378707e+00
7.487271200000000704e+01	-2.445441870960458175e+00	-1.066681893831128214e+01	-8.221377067350823964e+00	-7.120320209918872933e+00
7.512271200000000704e+01	-2.560886691709336915e+00	-1.080730441742644210e+01	-8.246417725717105185e+00	-7.746111280252597098e+00
7.537271200000000704e+01	-2.893354629876395023e+00	-1.116592196241264290e+01	-8.272567332536247875e+00	-8.427891445450812924e+00
7.562271200000000704e+01	-2.866118762926790353e+00	-1.116507975565766841e+01	-8.298960992730878061e+00	-9.147825619551211318e+00
7.587271200000000704e+01	-3.137957817902735869e+00	-1.146315590254737238e+01	-8.325198084644636509e+00	-9.898335192154902984e+00
7.612271200000000704e+01	-3.393461270533746799e+00	-1.174599206204925395e+01	-8.352530791515507147e+00	-1.071476257820946287e+01
7.637271200000000704e+01	-3.544756261650707785e+00	-1.192497474556739512e+01	-8.380218483916687333e+00	-1.158203976973251947e+01
7.662271200000000704e+01	-3.627240314878092065e+00	-1.203458099573056295e+01	-8.407340680852470882e+00	-1.247853934179861923e+01
7.687271200000000704e+01	-3.763384836069521455e+00	-1.219713410604045656e+01	-8.433749269970935103e+00	-1.340236748566707092e+01
7.712271200000000704e+01	-3.926779067104632759e+00	-1.238649197332545704e+01	-8.459712906220824280e+00	-1.436363797356383998e+01
7.737271200000000704e+01	-4.037135364462272946e+00	-1.252215525212549352e+01	-8.485019887663220572e+00	-1.535912727750970319e+01
7.762271200000000704e+01	-4.054629372597792880e+00	-1.256361561393993576e+01	-8.508986241342142876e+00	-1.637059786964221075e+01
7.787271200000000704e+01	-4.035895129304858386e+00	-1.256695695024511394e+01	-8.531061820940255558e+00	-1.738191343238004194e+01
7.812271200000000704e+01	-4.159362203997998719e+00	-1.271101184884146207e+01	-8.551649644843463349e+00	-1.840632059904289974e+01
7.837271200000000704e+01	-4.076755773298598839e+00	-1.264723366873897525e+01	-8.570477895440376415e+00	-1.943583534620497488e+01
7.862271200000000704e+01	-3.902812834471017567e+00	-1.248928459726975149e+01	-8.586471762798733920e+00	-2.043328142217617582e+01
7.887271200000000704e+01	-3.906420100622520764e+00	-1.250643841704589931e+01	-8.600018316423378550e+00	-2.140943553906286922e+01
7.912271200000000704e+01	-3.817211476518330926e+00	-1.242867098482787469e+01	-8.611459508309543764e+00	-2.237488948620547546e+01
7.937271200000000704e+01	-3.593086662473606196e+00	-1.221317947943989424e+01	-8.620092816966288041e+00	-2.330117675357946894e+01
7.962271200000000704e+01	-3.382773587278828487e+00	-1.200842597905333342e+01	-8.625652391774504935e+00	-2.417315928479852261e+01
7.987271200000000704e+01	-3.213261045197693733e+00	-1.184171407669207277e+01	-8.628453031494379033e+00	-2.499766361385808722e+01
8.012271200000000704e+01	-2.964367703961874767e+00	-1.159288463005586678e+01	-8.628516926093992012e+00	-2.576986720750303306e+01
8.037271200000000704e+01	-2.894886515145049799e+00	-1.152115196509088868e+01	-8.626265449945838881e+00	-2.650227398489139929e+01
8.062271200000000704e+01	-2.686174062511929250e+00	-1.130808978966525835e+01	-8.621915727153329101e+00	-2.719990655709852234e+01
8.087271200000000704e+01	-2.326733878657455179e+00	-1.094156904558254162e+01	-8.614835166925086440e+00	-2.782652004974469406e+01
8.112271200000000704e+01	-2.332332656426352457e+00	-1.093806951361854019e+01	-8.605736857192187728e+00	-2.840890336663017024e+01
8.137271200000000704e+01	-2.173392644856665612e+00	-1.076859508876448146e+01	-8.595202443907815848e+00	-2.897211902929054617e+01
8.162271200000000704e+01	-1.777447104911425768e+00	-1.035986230445485567e+01	-8.582415199543429907e+00	-2.946597399801155603e+01
8.187271200000000704e+01	-1.550853260471845019e+00	-1.011828361850078828e+01	-8.567430358028943260e+00	-2.988201154368446311e+01
8.212271200000000704e+01	-1.369229958376878997e+00	-9.920110103077918851e+00	-8.550880144701039853e+00	-3.024702194604055450e+01
8.237271200000000704e+01	-1.082537361057667624e+00	-9.615335381338582010e+00	-8.532798020280914386e+00	-3.055349286096987171e+01
8.262271200000000704e+01	-1.022359504590339085e+00	-9.535913832122700384e+00	-8.513554327532361299e+00	-3.081660496917587366e+01
8.287271200000000704e+01	-8.280927010955583256e-01	-9.321509510138655585e+00	-8.493416809043097260e+00	-3.104791149488661262e+01
8.312271200000000704e+01	-4.489290361405231522e-01	-8.920935096847218304e+00	-8.472006060706695152e+00	-3.120753921204112302e+01
8.337271200000000704e+01	-3.614264362601087299e-01	-8.811093307080168913e+00	-8.449666870820060183e+00	-3.130883364609120179e+01
8.362271200000000704e+01	-2.541055241460199454e-01	-8.681003691450641213e+00	-8.426898167304621268e+00	-3.138577514114196632e+01
8.387271200000000704e+01	-3.420571115348849389e-01	-8.746021447618925748e+00	-8.403964336084040809e+00	-3.146029547060208031e+01
8.412271200000000704e+01	-2.972373378325681159e-01	-8.678172121326857891e+00	-8.380934783494289775e+00	-3.154020727677301039e+01
8.437271200000000704e+01	-1.706583004121213776e-01	-8.528262741510197031e+00	-8.357604441098075654e+00	-3.159869423155359769e+01
8.462271200000000704e+01	-7.622380145582141608e-03	-8.341564693172168532e+00	-8.333942313026586390e+00	-3.162097931662330907e+01
8.487271200000000704e+01	-1.815920778249733303e-01	-8.491837846276400370e+00	-8.310245768451427040e+00	-3.164463112386962962e+01
8.512271200000000704e+01	-6.359540351802372982e-02	-8.350130529768930998e+00	-8.286535126250907268e+00	-3.167527955903750581e+01
8.537271200000000704e+01	7.979956599396764716e-02	-8.182858126325522008e+00	-8.262657692319489655e+00	-3.167325403872801104e+01
